,Name,Tm,mlbID
537,James Karinchak,Cleveland,675916
538,Karl Kauffmann,Colorado,666154
539,Anthony Kay,"Chicago,New York,Toronto",641743
540,Brad Keller,"Chicago,Kansas City",641745
541,Mitch Keller,Pittsburgh,656605
542,Trevor Kelley,"Milwaukee,Tampa Bay",665001
543,Carson Kelly,"Arizona,Detroit",608348
544,Joe Kelly,"Chicago,Los Angeles",523260
545,Kevin Kelly,Tampa Bay,687330
547,Merrill Kelly,Arizona,518876
548,Michael Kelly,"Cleveland,Oakland,Philadelphia",547184
549,Zack Kelly,Boston,677161
550,Brett Kennedy,Cincinnati,664028
551,Ian Kennedy,"Arizona,Texas",453178
552,Orion Kerkering,Philadelphia,689147
553,Ray Kerr,"Atlanta,San Diego",678061
554,Clayton Kershaw,Los Angeles,477132
555,Grae Kessinger,Houston,666197
556,Dallas Keuchel,"Arizona,Chicago,Minnesota,Texas",572971
557,Yusei Kikuchi,Toronto,579328
558,Caleb Kilian,Chicago,668873
559,Craig Kimbrel,"Baltimore,Los Angeles,Philadelphia",518886
560,Isiah Kiner-Falefa,"New York,Toronto",643396
561,John King,"St. Louis,Texas",667463
562,Michael King,"New York,San Diego",650633
563,Tyler Kinley,Colorado,641755
564,George Kirby,Seattle,669923
565,Andrew Kittredge,"St. Louis,Tampa Bay",552640
566,Will Klein,Kansas City,694361
567,Corey Kluber,"Boston,Tampa Bay",446372
568,Landon Knack,Los Angeles,689017
569,Corey Knebel,Philadelphia,608349
570,Reiss Knehr,San Diego,663753
571,Dusten Knight,Tampa Bay,643400
573,Andrew Knizner,St. Louis,668800
574,Matt Koch,"Colorado,Seattle",571863
575,Jared Koenig,"Milwaukee,Oakland",657649
576,Adam Kolarek,"Los Angeles,New York,Oakland",592473
577,Stephen Kolek,San Diego,663568
578,Michael Kopech,Chicago,656629
579,Jackson Kowar,Kansas City,663804
580,Max Kranick,Pittsburgh,668820
581,Joey Krehbiel,Baltimore,607216
582,Dean Kremer,Baltimore,665152
583,Brooks Kriske,Kansas City,621139
584,Zac Kristofak,Los Angeles,670219
585,Matt Krook,New York,640454
586,Chad Kuhl,"Colorado,Washington",641771
587,Joel Kuhnel,"Cincinnati,Houston",669270
588,Joe La Sorsa,"Tampa Bay,Washington",686747
589,A.J. Ladwig,Miami,607609
590,Travis Lakins Sr.,Baltimore,664042
591,Jake Lamb,Los Angeles,571875
592,Jimmy Lambert,Chicago,669424
593,Peter Lambert,Colorado,663567
594,Dinelson Lamet,"Boston,Colorado,Los Angeles,San Diego",659275
595,Alex Lange,Detroit,656638
596,Jacob Latz,Texas,656641
597,Eric Lauer,Milwaukee,641778
599,Derek Law,"Cincinnati,Detroit,Washington",571882
600,Casey Lawrence,"St. Louis,Toronto",596271
601,Justin Lawrence,Colorado,664875
602,Kyle Leahy,St. Louis,681517
603,Jordan Leasure,Chicago,673929
604,Jos\xc3\xa9 Leclerc,Texas,600917
605,Dylan Lee,Atlanta,669276
606,Evan Lee,Washington,681885
607,Casey Legumina,Cincinnati,668984
608,Jack Leiter,Texas,683004
609,Mark Leiter Jr.,Chicago,643410
610,Jacob Lemoine,Oakland,621082
611,Sandy Le\xc3\xb3n,"Cleveland,Texas",506702
612,Dominic Leone,"Chicago,Los Angeles,New York,San Francisco,Seattle",608678
613,Josh Lester,Baltimore,623507
614,Matthew Liberatore,St. Louis,669461
615,Jeff Lindgren,Miami,689167
616,Zack Littell,"Boston,San Francisco,Tampa Bay",641793
617,Brendon Little,"Chicago,Toronto",663893
618,Luke Little,Chicago,681432
619,Ben Lively,"Cincinnati,Cleveland",594902
620,Mauricio Llovera,"Boston,San Francisco",661440
621,Jonathan Lo\xc3\xa1isiga,New York,642528
622,Nick Lodolo,Cincinnati,666157
623,Zach Logue,"Detroit,Oakland",656657
625,Sam Long,"Kansas City,Oakland,San Francisco",669674
626,Alejo L\xc3\xb3pez,Cincinnati,664670
627,Jacob Lopez,Tampa Bay,682052
628,Jorge L\xc3\xb3pez,"Baltimore,Miami,Minnesota,New York",605347
629,Jos\xc3\xa9 Lopez,Tampa Bay,673111
630,Nicky Lopez,"Atlanta,Kansas City",670032
631,Pablo L\xc3\xb3pez,"Miami,Minnesota",641154
