,Name,Tm,mlbID,key_bbref
394,Thomas Eshelman,Baltimore,664045,eshelto01
395,Jose Espada,San Diego,664744,espadjo01
396,Raynel Espinal,"Boston,Cincinnati",642659,espinra01
397,Paolo Espino,"Toronto,Washington",502179,espinpa01
398,Anderson Espinoza,Chicago,659262,espinan01
399,Joey Estes,Oakland,683155,estesjo01
400,Carlos Est\xc3\xa9vez,"Colorado,Los Angeles",608032,estevca01
401,Jeremiah Estrada,"Chicago,San Diego",669093,estraje01
402,Demarcus Evans,Texas,663770,evansde01
403,Phillip Evans,Pittsburgh,595943,evansph01
404,Alex Faedo,Detroit,656412,faedoal01
405,Pete Fairbanks,Tampa Bay,664126,fairbpe01
406,Bailey Falter,"Philadelphia,Pittsburgh",663559,falteba01
407,Jeurys Familia,"Boston,New York,Oakland,Philadelphia",544727,familje01
408,Jake Faria,"Arizona,Boston",607188,fariaja01
409,Buck Farmer,"Cincinnati,Detroit",571656,farmebu01
410,Luke Farrell,"Chicago,Cincinnati,Minnesota",608652,farrelu01
411,Calvin Faucher,"Miami,Tampa Bay",676534,fauchca01
412,Erick Fedde,"Chicago,Washington",607200,feddeer01
413,Angel Felipe,Oakland,665734,felipan01
414,Michael Feliz,"Boston,Cincinnati,Oakland,Pittsburgh",593140,felizmi01
415,Neftal\xc3\xad Feliz,"Los Angeles,Philadelphia",491703,felizne01
417,Ryan Feltner,Colorado,663372,feltnry01
418,Caleb Ferguson,"Los Angeles,New York",657571,ferguca01
419,Tyler Ferguson,Oakland,621053,ferguty01
420,Julian Fern\xc3\xa1ndez,Colorado,642759,fernaju02
421,Junior Fern\xc3\xa1ndez,"Pittsburgh,St. Louis",658551,fernaju01
422,Ryan Fernandez,St. Louis,681676,fernary01
423,Jose A. Ferrer,Washington,678606,ferrejo01
424,David Festa,Minnesota,701581,festada01
425,Matt Festa,"New York,Seattle",670036,festama01
426,J.P. Feyereisen,"Los Angeles,Milwaukee,Tampa Bay",656420,feyerjo01
427,Mike Fiers,Oakland,571666,fiersmi01
428,Kyle Finnegan,Washington,640448,finneky01
429,Nate Fisher,New York,688010,fishena01
430,Jake Fishman,Miami,670288,fishmja01
431,Tyler Fitzgerald,San Francisco,666149,fitzgty01
432,Jay Flaa,"Atlanta,Baltimore",664852,flaaja01
433,Jack Flaherty,"Baltimore,Detroit,St. Louis",656427,flaheja01
434,Josh Fleming,"Pittsburgh,Tampa Bay",676596,flemijo01
435,Aaron Fletcher,"Pittsburgh,Seattle",667465,fletcaa01
436,Chris Flexen,"Chicago,Colorado,Seattle",623167,flexech01
437,Bernardo Flores Jr.,St. Louis,641576,florebe01
438,Dylan Floro,"Miami,Minnesota,Washington",571670,florody01
439,Jason Foley,Detroit,671345,foleyja01
440,Mike Foltynewicz,Texas,592314,foltymi01
441,Mike Ford,"Atlanta,Seattle",645801,fordmi01
443,Matt Foster,Chicago,641582,fostema01
444,J.P. France,Houston,641585,francjp01
445,Bowden Francis,Toronto,670102,francbo01
446,Seth Frankoff,Arizona,571676,frankse01
447,Kyle Freeland,Colorado,607536,freelky01
448,Mike Freeman,Cincinnati,502273,freemmi01
449,Luis Fr\xc3\xadas,Arizona,666818,friaslu01
450,Max Fried,Atlanta,608331,friedma01
451,David Fry,Cleveland,681807,fryda01
452,Jace Fry,Chicago,605240,fryja01
453,Paul Fry,"Arizona,Baltimore",643316,frypa01
454,Joshua Fuentes,Colorado,658069,fuentjo01
455,Shintaro Fujinami,"Baltimore,Oakland",660261,fujinsh01
456,Carson Fulmer,"Cincinnati,Los Angeles",608334,fulmeca01
457,Michael Fulmer,"Chicago,Detroit,Minnesota",605242,fulmemi01
458,Kody Funderburk,Minnesota,681892,fundeko01
459,Kyle Funkhouser,Detroit,608335,funkhky01
460,Hunter Gaddis,Cleveland,683769,gaddihu01
